"filename", "language", "TypeScript", "comment", "blank", "total"
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/createRtcIdToken.test.ts", "TypeScript", 182, 21, 42, 245
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/createRtcIdTokenOnRequest.test.ts", "TypeScript", 262, 23, 55, 340
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/createToken.test.ts", "TypeScript", 75, 63, 33, 171
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/customMatchers.ts", "TypeScript", 28, 0, 3, 31
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/hello.test.ts", "TypeScript", 103, 48, 34, 185
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/mock.test.ts", "TypeScript", 65, 10, 23, 98
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/requestData.test.ts", "TypeScript", 40, 14, 11, 65
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/responseData.test.ts", "TypeScript", 65, 7, 11, 83
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/setup.ts", "TypeScript", 17, 2, 5, 24
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/validateRequestData.test.ts", "TypeScript", 116, 59, 38, 213
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/verifyFirebaseAuthIdTokenOnCall.test.ts", "TypeScript", 33, 24, 17, 74
"/Users/stai/Documents/dev/stackremoteapi/functions/src/__tests__/verifyFirebaseAuthIdTokenOnRequest.test.ts", "TypeScript", 52, 34, 22, 108
"/Users/stai/Documents/dev/stackremoteapi/functions/src/createRtcIdToken.ts", "TypeScript", 106, 31, 29, 166
"/Users/stai/Documents/dev/stackremoteapi/functions/src/createRtcIdTokenOnRequest.ts", "TypeScript", 123, 31, 35, 189
"/Users/stai/Documents/dev/stackremoteapi/functions/src/hello.ts", "TypeScript", 70, 5, 13, 88
"/Users/stai/Documents/dev/stackremoteapi/functions/src/index.ts", "TypeScript", 14, 0, 2, 16
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/createToken.ts", "TypeScript", 57, 1, 13, 71
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/requestData.ts", "TypeScript", 41, 1, 7, 49
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/responseData.ts", "TypeScript", 20, 0, 4, 24
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/result.ts", "TypeScript", 5, 5, 2, 12
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/validateRequestData.ts", "TypeScript", 85, 3, 25, 113
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/verifyFirebaseAuthIdTokenOnCall.ts", "TypeScript", 25, 0, 5, 30
"/Users/stai/Documents/dev/stackremoteapi/functions/src/lib/verifyFirebaseAuthIdTokenOnRequest.ts", "TypeScript", 35, 2, 7, 44
"Total", "-", 1619, 384, 436, 2439